statisticalID,name,partOf,code,physicalType
MX04010,Calakmul,Location/MX04,ADMIN_STRUCTURE,Jurisdiction
MX30029,Calcahualco,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX32005,Calera,Location/MX32,ADMIN_STRUCTURE,Jurisdiction
MX20011,Calihualá,Location/MX20,ADMIN_STRUCTURE,Jurisdiction
MX15018,Calimaya,Location/MX15,ADMIN_STRUCTURE,Jurisdiction
MX04001,Calkiní,Location/MX04,ADMIN_STRUCTURE,Jurisdiction
MX13014,Calnali,Location/MX13,ADMIN_STRUCTURE,Jurisdiction
MX31008,Calotmul,Location/MX31,ADMIN_STRUCTURE,Jurisdiction
MX21026,Calpan,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX29006,Calpulalpan,Location/MX29,ADMIN_STRUCTURE,Jurisdiction
MX21027,Caltepec,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX01003,Calvillo,Location/MX01,ADMIN_STRUCTURE,Jurisdiction
MX08011,Camargo,Location/MX08,ADMIN_STRUCTURE,Jurisdiction
MX28007,Camargo,Location/MX28,ADMIN_STRUCTURE,Jurisdiction
MX30007,Camarón de Tejeda,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX30030,Camerino Z. Mendoza,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX21028,Camocuautla,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX04002,Campeche,Location/MX04,ADMIN_STRUCTURE,Jurisdiction
MX21099,Cañada Morelos,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX14117,Cañadas de Obregón,Location/MX14,ADMIN_STRUCTURE,Jurisdiction
MX26019,Cananea,Location/MX26,ADMIN_STRUCTURE,Jurisdiction
MX10001,Canatlán,Location/MX10,ADMIN_STRUCTURE,Jurisdiction
MX05005,Candela,Location/MX05,ADMIN_STRUCTURE,Jurisdiction
MX04011,Candelaria,Location/MX04,ADMIN_STRUCTURE,Jurisdiction
MX20012,Candelaria Loxicha,Location/MX20,ADMIN_STRUCTURE,Jurisdiction
MX10002,Canelas,Location/MX10,ADMIN_STRUCTURE,Jurisdiction
MX32006,Cañitas de Felipe Pescador,Location/MX32,ADMIN_STRUCTURE,Jurisdiction
MX31009,Cansahcab,Location/MX31,ADMIN_STRUCTURE,Jurisdiction
MX31010,Cantamayec,Location/MX31,ADMIN_STRUCTURE,Jurisdiction
MX20247,Capulálpam de Méndez,Location/MX20,ADMIN_STRUCTURE,Jurisdiction
MX15019,Capulhuac,Location/MX15,ADMIN_STRUCTURE,Jurisdiction
MX16013,Carácuaro,Location/MX16,ADMIN_STRUCTURE,Jurisdiction
MX26020,Carbó,Location/MX26,ADMIN_STRUCTURE,Jurisdiction
MX24005,Cárdenas,Location/MX24,ADMIN_STRUCTURE,Jurisdiction
MX27002,Cárdenas,Location/MX27,ADMIN_STRUCTURE,Jurisdiction
MX13015,Cardonal,Location/MX13,ADMIN_STRUCTURE,Jurisdiction
MX08012,Carichí,Location/MX08,ADMIN_STRUCTURE,Jurisdiction
MX30208,Carlos A. Carrillo,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX04003,Carmen,Location/MX04,ADMIN_STRUCTURE,Jurisdiction
MX30031,Carrillo Puerto,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX28008,Casas,Location/MX28,ADMIN_STRUCTURE,Jurisdiction
MX08013,Casas Grandes,Location/MX08,ADMIN_STRUCTURE,Jurisdiction
MX14021,Casimiro Castillo,Location/MX14,ADMIN_STRUCTURE,Jurisdiction
MX05006,Castaños,Location/MX05,ADMIN_STRUCTURE,Jurisdiction
MX30157,Castillo de Teayo,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX07016,Catazajá,Location/MX07,ADMIN_STRUCTURE,Jurisdiction
MX30032,Catemaco,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX24006,Catorce,Location/MX24,ADMIN_STRUCTURE,Jurisdiction
MX21029,Caxhuacan,Location/MX21,ADMIN_STRUCTURE,Jurisdiction
MX30033,Cazones de Herrera,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX24007,Cedral,Location/MX24,ADMIN_STRUCTURE,Jurisdiction
MX11007,Celaya,Location/MX11,ADMIN_STRUCTURE,Jurisdiction
MX31011,Celestún,Location/MX31,ADMIN_STRUCTURE,Jurisdiction
MX31012,Cenotillo,Location/MX31,ADMIN_STRUCTURE,Jurisdiction
MX27003,Centla,Location/MX27,ADMIN_STRUCTURE,Jurisdiction
MX27004,Centro,Location/MX27,ADMIN_STRUCTURE,Jurisdiction
MX19011,Cerralvo,Location/MX19,ADMIN_STRUCTURE,Jurisdiction
MX24008,Cerritos,Location/MX24,ADMIN_STRUCTURE,Jurisdiction
MX30034,Cerro Azul,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX24009,Cerro de San Pedro,Location/MX24,ADMIN_STRUCTURE,Jurisdiction
MX30054,Chacaltianguis,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX31016,Chacsinkín,Location/MX31,ADMIN_STRUCTURE,Jurisdiction
